CustomerID,PAGE_NAME,TIMESTAMP,AgeCategory_x,Gender_x,ComplaintTopicID
220,mijn_berichten,12:33.9,50-65,V,9
220,mijn_cv,12:51.4,50-65,V,9
220,vacatures_zoeken,58:06.1,50-65,V,9
220,mijn_documenten,18:49.9,50-65,V,9
220,taken,33:40.2,50-65,V,9
609,vacatures_zoeken,02:13.8,18-29,V,31
1339,vacatures_zoeken,30:42.5,50-65,V,33
1339,taken,29:20.9,50-65,V,33
1362,vacatures_zoeken,17:28.2,30-39,V,34
1362,taken,39:17.9,30-39,V,34
1453,taken,55:47.5,30-39,M,26
1453,mijn_berichten,32:08.6,30-39,M,26
1453,vacatures_zoeken,59:11.1,30-39,M,26
1674,taken,40:49.4,50-65,V,42
1752,taken,54:33.6,50-65,M,32
1839,wdo,03:50.6,30-39,M,40
1839,mijn_werkmap,05:24.5,30-39,M,40
1839,mijn_sollicitaties,05:36.8,30-39,M,40
1839,taken,41:49.6,30-39,M,40
1839,vacatures_zoeken,14:28.8,30-39,M,40
2147,mijn_berichten,21:44.3,30-39,M,20
2147,vacatures_zoeken,20:58.1,30-39,M,20
2147,mijn_cv,24:06.5,30-39,M,20
2147,taken,14:12.2,30-39,M,20
2182,mijn_werkmap,27:36.8,50-65,M,58
2182,vacatures_zoeken,31:57.5,50-65,M,58
2440,mijn_cv,02:39.4,50-65,M,24
2440,wdo,59:55.4,50-65,M,24
2440,taken,58:37.8,50-65,M,24
2440,vacatures_zoeken,58:17.5,50-65,M,24
3145,vacatures_zoeken,08:08.6,30-39,V,13
3145,mijn_sollicitaties,32:30.7,30-39,V,13
3145,mijn_rechten_en_plichten,56:06.9,30-39,V,13
3145,mijn_berichten,58:21.9,30-39,V,13
3145,wdo,55:16.5,30-39,V,13
3145,taken,56:38.0,30-39,V,13
3145,mijn_online_trainingen,28:53.4,30-39,V,13
3165,vacatures_zoeken,54:31.0,30-39,V,7
3165,home,30:01.8,30-39,V,7
3165,mijn_werkmap,44:42.2,30-39,V,7
4283,taken,27:24.2,50-65,M,26
4283,bijstandsuitkering,00:03.7,50-65,M,26
4283,mijn_cv,33:57.6,50-65,M,26
4564,mijn_werkmap,57:30.1,50-65,V,9
4564,wdo,47:21.5,50-65,V,9
4564,sollicitatie-wijziging,12:38.2,50-65,V,9
4564,taken,55:51.3,50-65,V,9
5034,vacatures_zoeken,11:10.0,50-65,M,7
5034,Portal (ignore_request_page),30:06.4,50-65,M,7
5034,mijn_online_trainingen,20:34.4,50-65,M,7
5034,taken,58:48.2,50-65,M,7
5034,foutopgetreden.html,21:52.1,50-65,M,7
5034,mijn_werkmap,11:59.8,50-65,M,7
5441,wdo,18:08.6,50-65,V,68
5441,mijn_werkmap,18:17.9,50-65,V,68
5441,taken,44:54.9,50-65,V,68
5441,vacatures_zoeken,23:18.8,50-65,V,68
5618,mijn_cv,12:33.1,30-39,M,20
5618,mijn_sollicitaties,24:48.6,30-39,M,20
5618,vacatures_zoeken,40:03.0,30-39,M,20
5884,taken,04:06.1,18-29,V,32
5884,mijn_cv,32:58.3,18-29,V,32
6012,mijn_berichten,23:38.3,50-65,M,7
6012,taken,41:48.2,50-65,M,7
6012,mijn_bewijs_van_inschrijving,23:34.9,50-65,M,7
6012,vacatures_zoeken,31:02.3,50-65,M,7
6230,taken,55:04.6,40-49,V,13
6230,wdo,22:24.2,40-49,V,13
6230,mijn_werkmap,22:26.4,40-49,V,13
6230,mijn_cv,38:14.9,40-49,V,13
6435,wdo,52:35.7,30-39,M,31
6435,mijn_werkmap,52:46.7,30-39,M,31
6486,taken,22:36.1,50-65,M,7
6490,wdo,20:59.5,18-29,V,33
6490,inschrijven,21:55.8,18-29,V,33
6490,mijn_werkmap,22:06.4,18-29,V,33
6490,taken,52:54.4,18-29,V,33
6607,mijn_online_trainingen,38:17.3,40-49,V,34
